208	0	0	0	0	0	0	0	0	0	0	1	9	62	1	33	3	0	0	1	
21	0	2	0	2	7	0	0	0	0	0	4	279	69	4	0	0	0	1	0	
30	0	20	14	8	12	0	0	0	1	1	4	188	109	1	0	1	0	2	0	
18	0	2	62	5	0	0	0	0	0	1	3	266	31	2	0	2	0	0	0	
10	0	0	12	122	0	0	0	0	0	1	3	172	53	2	0	2	0	6	0	
14	0	6	0	0	47	0	0	0	0	0	5	225	82	10	0	1	0	0	0	
6	0	0	30	20	2	1	0	0	1	2	3	283	18	2	0	8	0	6	0	
52	0	0	0	0	0	0	1	1	0	0	1	157	159	2	0	11	0	11	0	
54	0	0	0	0	0	0	0	111	0	1	1	58	167	0	0	4	0	1	0	
40	0	0	0	1	0	0	0	0	25	37	0	67	222	0	0	2	0	3	0	
12	0	0	0	1	0	0	0	0	0	236	0	37	110	1	1	0	0	1	0	
29	0	0	0	1	1	0	0	1	0	0	169	35	96	0	0	46	0	17	0	
30	0	0	1	2	0	0	0	0	0	0	4	290	63	1	0	2	0	0	0	
21	0	0	0	1	1	0	1	0	0	0	0	44	318	0	2	5	0	0	0	
32	0	0	0	1	0	0	0	0	0	0	1	52	112	180	0	11	0	3	0	
101	0	0	0	0	0	0	0	0	0	0	0	24	159	3	107	1	0	3	0	
25	0	0	0	0	0	0	0	1	0	1	3	8	42	1	0	271	0	12	0	
89	0	0	0	0	0	0	0	0	1	0	0	21	209	0	0	37	0	19	0	
29	0	0	0	0	0	0	0	0	0	0	1	10	67	0	1	94	0	108	0	
104	0	0	0	0	0	0	0	0	0	0	0	7	81	0	33	23	0	3	0	
